2025-05-01T00:43:11
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
12676,11607,1450,1069,72,0,65535,1807,100,11546,11551,11679,11633,11704
12810,11607,1450,1203,72,0,65535,1807,100,11555,11535,11671,11630,11722
12596,11607,1450,989,72,0,65535,1807,100,11550,11509,11640,11651,11738
12060,11607,1450,453,72,0,65535,1807,100,11553,11494,11668,11641,11723
11802,11607,1450,195,72,0,65535,1807,100,11527,11486,11619,11625,11686
11688,11607,1450,81,72,0,65535,1807,100,11528,11495,11633,11628,11633
11634,11607,1450,27,72,0,65535,1807,100,11534,11489,11635,11623,11649
11595,11607,1450,-12,72,0,65535,1807,100,11532,11479,11637,11598,11615
11590,11607,1450,-17,72,0,-,-,-,-,-,-,-,-
11584,11607,1450,-23,72,0,-,-,-,-,-,-,-,-
11571,11607,1450,-36,72,0,65535,1807,100,11515,11485,11603,11618,11627
11575,11607,1450,-32,72,0,65535,1807,100,11509,11492,11596,11614,11646
11568,11607,1450,-39,72,0,65535,1807,100,11499,11495,11615,11597,11671
11577,11607,1450,-30,72,0,65535,1807,100,11497,11520,11580,11558,11681
11580,11607,1450,-27,72,0,65535,1807,100,11472,11498,11616,11531,11668
11600,11607,1450,-7,72,0,65535,1807,100,11490,11546,11592,11558,11607
11592,11607,1450,-15,72,0,65535,1807,100,11489,11510,11603,11586,11617
11595,11607,1450,-12,72,0,65535,1807,100,11512,11504,11592,11530,11647
11591,11607,1450,-16,72,0,65535,1807,100,11509,11502,11603,11551,11662
11588,11607,1450,-19,72,0,65535,1807,100,11502,11536,11632,11563,11654
11592,11607,1450,-15,72,0,65535,1807,100,11527,11514,11645,11565,11668
11591,11607,1450,-16,72,0,-,-,-,-,-,-,-,-
11588,11607,1450,-19,72,0,65535,1807,100,11553,11497,11654,11618,11656
11589,11607,1450,-18,72,0,65535,1807,100,11528,11504,11652,11595,11679
11612,11607,1450,5,72,0,65535,1807,100,11501,11496,11640,11605,11693
11618,11607,1450,11,72,0,-,-,-,-,-,-,-,-
11624,11607,1450,17,72,0,65535,1807,100,11525,11507,11644,11608,11651
11607,11607,1450,0,72,0,65535,1807,100,11525,11511,11606,11624,11647
11613,11607,1450,6,72,0,65535,1807,100,11512,11530,11643,11609,11641
11606,11607,1450,-1,72,0,-,-,-,-,-,-,-,-
11598,11607,1450,-9,72,0,-,-,-,-,-,-,-,-
11581,11607,1450,-26,72,0,65535,1807,100,11499,11530,11626,11561,11626
11589,11607,1450,-18,72,0,65535,1807,100,11497,11510,11608,11538,11673
11593,11607,1450,-14,72,0,65535,1807,100,11526,11481,11622,11583,11656
11583,11607,1450,-24,72,0,65535,1807,100,11514,11493,11606,11558,11664
11589,11607,1450,-18,72,0,65535,1807,100,11507,11587,11614,11590,11657
11603,11607,1450,-4,72,0,65535,1807,100,11516,11538,11591,11606,11680
11584,11607,1450,-23,72,0,-,-,-,-,-,-,-,-
11592,11607,1450,-15,72,0,65535,1807,100,11525,11494,11593,11565,11636
11603,11607,1450,-4,72,0,65535,1807,100,11527,11496,11600,11591,11662
11579,11607,1450,-28,72,0,65535,1807,100,11530,11482,11617,11584,11659
11595,11607,1450,-12,72,0,-,-,-,-,-,-,-,-
11591,11607,1450,-16,72,0,65535,1807,100,11516,11553,11625,11561,11664
11603,11607,1450,-4,72,0,65535,1807,100,11542,11528,11632,11595,11673
11601,11607,1450,-6,72,0,65535,1807,100,11519,11512,11637,11581,11664
11598,11607,1450,-9,72,0,65535,1807,100,11532,11547,11647,11577,11664
11600,11607,1450,-7,72,0,65535,1807,100,11548,11532,11666,11590,11680
11593,11607,1450,-14,72,0,65535,1807,100,11543,11525,11658,11620,11683
-,-,-,-,-,-,65535,1807,100,11548,11518,11660,11597,11634
11593,11607,1450,-14,72,0,65535,1807,100,11526,11515,11642,11571,11663
11604,11607,1450,-3,72,0,65535,1807,100,11542,11505,11650,11607,11671
11611,11607,1450,4,72,0,65535,1807,100,11530,11499,11625,11608,11680
11600,11607,1450,-7,72,0,65535,1807,100,11528,11505,11633,11618,11690
11607,11607,1450,0,72,0,-,-,-,-,-,-,-,-
11608,11607,1450,1,72,0,-,-,-,-,-,-,-,-
11611,11607,1450,4,72,0,65535,1807,100,11536,11501,11643,11584,11697
11581,11607,1450,-26,72,0,65535,1807,100,11516,11501,11631,11569,11660
11589,11607,1450,-18,72,0,65535,1807,100,11526,11493,11615,11589,11664
11592,11607,1450,-15,72,0,65535,1807,100,11519,11503,11620,11577,11686
11589,11607,1450,-18,72,0,65535,1807,100,11538,11499,11615,11613,11681
11595,11607,1450,-12,72,0,65535,1807,100,11504,11489,11586,11607,11687
11601,11607,1450,-6,72,0,65535,1807,100,11505,11490,11615,11591,11697
11589,11607,1450,-18,72,0,65535,1807,100,11494,11498,11618,11550,11654
11576,11607,1450,-31,72,0,65535,1807,100,11508,11482,11590,11557,11583
11572,11607,1450,-35,72,0,65535,1807,100,11486,11475,11595,11533,11621
11562,11607,1450,-45,72,0,65535,1807,100,11486,11479,11582,11572,11637
11586,11607,1450,-21,72,0,65535,1807,100,11486,11485,11620,11605,11614
11567,11607,1450,-40,72,0,65535,1807,100,11516,11474,11604,11599,11639
11576,11607,1450,-31,72,0,65535,1807,100,11516,11483,11623,11576,11653
11580,11607,1450,-27,72,0,65535,1807,100,11495,11499,11609,11596,11654
11587,11607,1450,-20,72,0,65535,1807,100,11494,11479,11622,11564,11660
11608,11666,1450,-58,72,0,65535,1807,100,11518,11484,11622,11595,11645
11598,11666,1450,-68,72,0,65535,1807,100,11497,11496,11625,11623,11679
11612,11666,1450,-54,72,0,65535,1807,100,11523,11494,11628,11616,11639
11619,11666,1450,-47,72,0,65535,1807,100,11526,11512,11642,11628,11667
11601,11666,1450,-65,72,0,65535,1807,100,11525,11511,11643,11584,11610
11594,11666,1450,-72,72,0,65535,1807,100,11536,11516,11654,11627,11622
11617,11666,1450,-49,72,0,65535,1807,100,11522,11512,11622,11603,11663
11643,11666,1450,-23,72,0,65535,1807,100,11529,11501,11638,11634,11700
11618,11666,1450,-48,72,0,65535,1807,100,11526,11556,11654,11576,11673
11612,11666,1450,-54,72,0,65535,1807,100,11526,11546,11635,11559,11685
11637,11666,1450,-29,72,0,65535,1807,100,11559,11538,11638,11592,11705
11625,11666,1450,-41,72,0,-,-,-,-,-,-,-,-
11613,11666,1450,-53,72,0,65535,1807,100,11631,11544,11630,11643,11718
11606,11666,1450,-60,72,0,-,-,-,-,-,-,-,-
11613,11666,1450,-53,72,0,65535,1807,100,12127,11561,11639,11646,11679
11604,11666,1450,-62,72,0,1,1807,100,12561,11584,11617,11649,11692
11598,11666,1450,-68,72,0,1,1807,100,12847,11603,11616,11648,11704
11591,11666,1450,-75,72,0,1,1807,100,13010,11628,11622,11625,11697
11606,11666,1450,-60,72,0,0,1807,100,13037,11675,11621,11636,11695
11601,11666,1450,-65,72,0,1,1807,100,12927,11782,11616,11618,11717
11607,11666,1450,-59,72,0,65535,1807,100,12636,12020,11681,11598,11702
11609,11666,1450,-57,72,0,65535,1807,100,12264,12312,11680,11632,11695
11608,11666,1450,-58,72,0,29,1807,100,11839,12813,11729,11629,11678
11615,11666,1450,-51,72,0,31,1807,100,11691,12790,11915,11652,11711
11635,11666,1450,-31,72,0,65535,1807,100,11615,12608,12099,11687,11713
11627,11666,1450,-39,72,0,65535,1807,100,11539,12211,12537,11666,11714
11626,11666,1450,-40,72,0,48,1807,100,11557,11899,12745,11701,11723
11621,11666,1450,-45,72,0,-,-,-,-,-,-,-,-
11624,11666,1450,-42,72,0,-,-,-,-,-,-,-,-
11610,11666,1450,-56,72,0,51,1807,100,11527,11571,12845,11940,11699
11598,11666,1450,-68,72,0,65535,1807,100,11519,11552,12666,12071,11690
11605,11666,1450,-61,72,0,65535,1807,100,11542,11550,12355,12416,11686
-,-,-,-,-,-,65535,1807,100,11568,11571,12104,12694,11711
11611,11666,1450,-55,72,0,-,-,-,-,-,-,-,-
11621,11666,1450,-45,72,0,-,-,-,-,-,-,-,-
11602,11666,1450,-64,72,0,65535,1807,100,11553,11522,11645,12294,12481
11596,11666,1450,-70,72,0,99,1807,100,11517,11504,11659,11752,13123
11621,11666,1450,-45,72,0,100,1807,100,11530,11518,11655,11639,12928
11607,11666,1450,-59,72,0,65535,1807,100,11531,11542,11662,11620,12370
11611,11666,1450,-55,72,0,65535,1807,100,11546,11513,11633,11614,11901
11593,11666,1450,-73,72,0,65535,1807,100,11526,11504,11624,11614,11700
11596,11666,1450,-70,72,0,65535,1807,100,11504,11476,11611,11612,11619
11605,11666,1450,-61,72,0,-,-,-,-,-,-,-,-
11606,11666,1450,-60,72,0,65535,1807,100,11502,11492,11563,11581,11659
11605,11666,1450,-61,72,0,65535,1807,100,11500,11491,11595,11563,11693
11595,11666,1450,-71,72,0,65535,1807,100,11495,11486,11603,11563,11636
11609,11666,1450,-57,72,0,-,-,-,-,-,-,-,-
